id,order_id,placed_at,merchant_id,sku_id,top_cat_id,sub_cat_id,qty,price
126,23,2021-05-05 11:04:46.579,10,341,3.0,47.0,100,0.0
166,41,2021-05-06 10:45:02.448,196,341,3.0,47.0,2,0.0
167,42,2021-05-06 10:45:04.850,196,341,3.0,47.0,2,0.0
168,43,2021-05-06 10:48:00.927,197,457,12.0,30.0,20,0.0
169,44,2021-05-06 10:51:28.980,198,341,3.0,47.0,5,0.0
170,44,2021-05-06 10:51:28.980,198,457,12.0,30.0,10,0.0
171,44,2021-05-06 10:51:28.980,198,288,14.0,37.0,5,0.0
188,50,2021-05-06 11:13:17.751,204,341,3.0,47.0,1,0.0
193,53,2021-05-06 11:23:27.647,206,457,12.0,30.0,50,0.0
194,53,2021-05-06 11:23:27.647,206,293,14.0,37.0,1,0.0
195,53,2021-05-06 11:23:27.647,206,477,27.0,78.0,2,0.0
196,53,2021-05-06 11:23:27.647,206,247,4.0,24.0,5,0.0
197,53,2021-05-06 11:23:27.647,206,341,3.0,47.0,1,0.0
246,77,2021-05-06 12:37:52.601,10,341,3.0,47.0,100,0.0
248,79,2021-05-07 09:30:15.695,10,532,4.0,24.0,30,0.0
249,79,2021-05-07 09:30:15.695,10,531,4.0,24.0,112,0.0
250,80,2021-05-07 09:38:06.542,223,378,4.0,31.0,1,0.0
251,80,2021-05-07 09:38:06.542,223,453,4.0,31.0,2,0.0
252,80,2021-05-07 09:38:06.542,223,279,4.0,31.0,3,0.0
253,80,2021-05-07 09:38:06.542,223,241,4.0,24.0,1,0.0
334,102,2021-05-08 11:02:14.100,204,476,15.0,30.0,1,0.0
335,102,2021-05-08 11:02:14.100,204,248,14.0,37.0,1,0.0
336,102,2021-05-08 11:02:14.100,204,457,12.0,30.0,50,0.0
396,114,2021-05-10 12:45:11.447,250,473,4.0,4.0,1,0.0
397,114,2021-05-10 12:45:11.447,250,425,3.0,105.0,1,0.0
398,114,2021-05-10 12:45:11.447,250,547,4.0,24.0,1,0.0
555,136,2021-05-11 10:55:04.944,261,441,4.0,4.0,1,0.0
556,136,2021-05-11 10:55:04.944,261,214,3.0,10.0,10,0.0
593,148,2021-05-17 09:56:33.063,266,416,3.0,102.0,1,0.0
594,148,2021-05-17 09:56:33.063,266,472,9.0,4.0,10,0.0
730,183,2021-05-18 09:57:32.817,250,547,4.0,24.0,1,0.0
731,183,2021-05-18 09:57:32.817,250,429,3.0,105.0,1,0.0
798,201,2021-05-18 13:26:30.184,204,266,12.0,30.0,25,0.0
799,201,2021-05-18 13:26:30.184,204,449,4.0,31.0,10,0.0
800,201,2021-05-18 13:26:30.184,204,213,4.0,8.0,20,0.0
847,216,2021-05-19 13:51:41.626,223,472,9.0,4.0,3,0.0
848,216,2021-05-19 13:51:41.626,223,526,4.0,31.0,3,0.0
849,216,2021-05-19 13:51:41.626,223,416,3.0,102.0,1,0.0
895,226,2021-05-19 14:24:32.722,206,322,4.0,31.0,1,0.0
896,226,2021-05-19 14:24:32.722,206,372,4.0,31.0,1,0.0
897,226,2021-05-19 14:24:32.722,206,453,4.0,31.0,25,0.0
898,226,2021-05-19 14:24:32.722,206,213,4.0,8.0,40,0.0
899,226,2021-05-19 14:24:32.722,206,266,12.0,30.0,25,0.0
900,226,2021-05-19 14:24:32.722,206,276,12.0,36.0,5,0.0
901,226,2021-05-19 14:24:32.722,206,455,12.0,30.0,25,0.0
902,226,2021-05-19 14:24:32.722,206,214,3.0,10.0,10,0.0
1124,239,2021-05-20 08:39:59.757,168,322,4.0,31.0,1,264500.0
